Timestamp,Imagem,Tipo,Valores
2025-02-19 13:11:06,./mnt/data/P1_ALIGN.png,Diâmetros,"[np.float64(6.160761501850873), np.float64(6.160761501850873), np.float64(6.160761501850873), np.float64(6.160761501850873), np.float64(6.160761501850873), np.float64(6.160761501850873), np.float64(6.160761501850873), np.float64(6.160761501850873), np.float64(6.160761501850873), np.float64(6.160761501850873), np.float64(6.160761501850873), np.float64(6.160761501850873), np.float64(6.160761501850873), np.float64(6.160761501850873), np.float64(6.160761501850873), np.float64(6.160761501850873), np.float64(6.160761501850873), np.float64(6.160761501850873), np.float64(5.94923320994183), np.float64(5.367530407191962), np.float64(4.838709677419355), np.float64(4.309888947646748), np.float64(3.72818614489688), np.float64(3.199365415124273), np.float64(2.6705446853516657), np.float64(2.088841882601798), np.float64(1.560021152829191), np.float64(4.415653093601269), np.float64(5.420412480169222)]"
2025-02-19 13:11:28,./mnt/data/P1_ALIGN.png,Comprimento Total,[67.01044559037419]
2025-02-19 13:11:28,./mnt/data/P1_ALIGN.png,Diâmetros,"[np.float64(6.161576094142537), np.float64(6.161576094142537), np.float64(6.161576094142537), np.float64(6.161576094142537), np.float64(6.161576094142537), np.float64(6.161576094142537), np.float64(6.161576094142537), np.float64(6.161576094142537), np.float64(6.161576094142537), np.float64(6.161576094142537), np.float64(6.161576094142537), np.float64(6.161576094142537), np.float64(6.161576094142537), np.float64(6.161576094142537), np.float64(6.161576094142537), np.float64(6.161576094142537), np.float64(6.161576094142537), np.float64(6.161576094142537), np.float64(5.950019833399445), np.float64(5.368240116355944), np.float64(4.839349464498215), np.float64(4.310458812640487), np.float64(3.7286790955969855), np.float64(3.199788443739257), np.float64(2.670897791881529), np.float64(2.0891180748380274), np.float64(1.5602274229802988), np.float64(4.4162369430120325), np.float64(5.421129181541716)]"
2025-02-19 13:11:44,./mnt/data/P1_ALIGN.png,Comprimento Total,[67.01753457988416]
2025-02-19 13:11:44,./mnt/data/P1_ALIGN.png,Diâmetros,"[np.float64(6.162227923091164), np.float64(6.162227923091164), np.float64(6.162227923091164), np.float64(6.162227923091164), np.float64(6.162227923091164), np.float64(6.162227923091164), np.float64(6.162227923091164), np.float64(6.162227923091164), np.float64(6.162227923091164), np.float64(6.162227923091164), np.float64(6.162227923091164), np.float64(6.162227923091164), np.float64(6.162227923091164), np.float64(6.162227923091164), np.float64(6.162227923091164), np.float64(6.162227923091164), np.float64(6.162227923091164), np.float64(6.162227923091164), np.float64(5.950649281954987), np.float64(5.368808018830499), np.float64(4.839861415990056), np.float64(4.310914813149613), np.float64(3.729073550025125), np.float64(3.200126947184682), np.float64(2.6711803443442386), np.float64(2.0893390812197508), np.float64(1.5603924783793075), np.float64(4.416704133717701), np.float64(5.421702679114543)]"
2025-02-19 13:12:03,./mnt/data/P1_ALIGN.png,Comprimento Total,[67.0193070616239]
2025-02-19 13:12:03,./mnt/data/P1_ALIGN.png,Diâmetros,"[np.float64(6.16239090187781), np.float64(6.16239090187781), np.float64(6.16239090187781), np.float64(6.16239090187781), np.float64(6.16239090187781), np.float64(6.16239090187781), np.float64(6.16239090187781), np.float64(6.16239090187781), np.float64(6.16239090187781), np.float64(6.16239090187781), np.float64(6.16239090187781), np.float64(6.16239090187781), np.float64(6.16239090187781), np.float64(6.16239090187781), np.float64(6.16239090187781), np.float64(6.16239090187781), np.float64(6.16239090187781), np.float64(6.16239090187781), np.float64(5.950806664903465), np.float64(5.368950013224015), np.float64(4.839989420788151), np.float64(4.3110288283522875), np.float64(3.729172176672838), np.float64(3.2002115842369743), np.float64(2.6712509918011107), np.float64(2.089394340121661), np.float64(1.5604337476857972), np.float64(4.416820946839461), np.float64(5.421846072467601)]"
2025-02-19 13:12:14,./mnt/data/P1_ALIGN.png,Comprimento Total,[67.05477639587193]
2025-02-19 13:12:15,./mnt/data/P1_ALIGN.png,Diâmetros,"[np.float64(6.165652288965335), np.float64(6.165652288965335), np.float64(6.165652288965335), np.float64(6.165652288965335), np.float64(6.165652288965335), np.float64(6.165652288965335), np.float64(6.165652288965335), np.float64(6.165652288965335), np.float64(6.165652288965335), np.float64(6.165652288965335), np.float64(6.165652288965335), np.float64(6.165652288965335), np.float64(6.165652288965335), np.float64(6.165652288965335), np.float64(6.165652288965335), np.float64(6.165652288965335), np.float64(6.165652288965335), np.float64(6.165652288965335), np.float64(5.953956073035195), np.float64(5.371791479227309), np.float64(4.842550939401958), np.float64(4.313310399576608), np.float64(3.731145805768722), np.float64(3.2019052659433713), np.float64(2.6726647261180205), np.float64(2.090500132310135), np.float64(1.5612595924847843), np.float64(4.4191585075416775), np.float64(5.424715533209844)]"
2025-02-19 13:12:31,./mnt/data/P1_ALIGN.png,Comprimento Total,[67.02817087686815]
2025-02-19 13:12:31,./mnt/data/P1_ALIGN.png,Diâmetros,"[np.float64(6.163205925142177), np.float64(6.163205925142177), np.float64(6.163205925142177), np.float64(6.163205925142177), np.float64(6.163205925142177), np.float64(6.163205925142177), np.float64(6.163205925142177), np.float64(6.163205925142177), np.float64(6.163205925142177), np.float64(6.163205925142177), np.float64(6.163205925142177), np.float64(6.163205925142177), np.float64(6.163205925142177), np.float64(6.163205925142177), np.float64(6.163205925142177), np.float64(6.163205925142177), np.float64(6.163205925142177), np.float64(6.163205925142177), np.float64(5.951593704536437), np.float64(5.369660097870652), np.float64(4.840629546356302), np.float64(4.311598994841952), np.float64(3.729665388176167), np.float64(3.200634836661817), np.float64(2.6716042851474673), np.float64(2.0896706784816823), np.float64(1.5606401269673325), np.float64(4.417405105144822), np.float64(5.422563153022087)]"
2025-02-19 13:12:48,./mnt/data/P1_ALIGN.png,Comprimento Total,[67.02994392127817]
2025-02-19 13:12:48,./mnt/data/P1_ALIGN.png,Diâmetros,"[np.float64(6.1633689556660665), np.float64(6.1633689556660665), np.float64(6.1633689556660665), np.float64(6.1633689556660665), np.float64(6.1633689556660665), np.float64(6.1633689556660665), np.float64(6.1633689556660665), np.float64(6.1633689556660665), np.float64(6.1633689556660665), np.float64(6.1633689556660665), np.float64(6.1633689556660665), np.float64(6.1633689556660665), np.float64(6.1633689556660665), np.float64(6.1633689556660665), np.float64(6.1633689556660665), np.float64(6.1633689556660665), np.float64(6.1633689556660665), np.float64(6.1633689556660665), np.float64(5.951751137445773), np.float64(5.369802137339963), np.float64(4.840757591789228), np.float64(4.311713046238493), np.float64(3.729764046132684), np.float64(3.2007195005819487), np.float64(2.6716749550312135), np.float64(2.0897259549254046), np.float64(1.5606814093746693), np.float64(4.41752195534864), np.float64(5.422706591895038)]"
2025-02-19 13:13:01,./mnt/data/P1_ALIGN.png,Comprimento Total,[67.03083047865938]
